SPECS,c1,c23,c2,b1,b2,lhAC,iw,nperiflw,nperfilw2,nperfilw3,zwGround,LFuselageLAPES,WFuselageLAPES,nCelulas,tauE,xCG_Acw,airfoilhIndex,WFuselageLAPES,HFuselageLAPES,LFuselageLAPES,motorIndex,volumeBox,configBox,Score
22,0.24521777944474,0.24099527247481,0.22691310935062,0.59124439536475,0.53169248652686,0.63236268081096,4,2,2,2,0.17979256440097,0.23782913600527,0.063360241539552,2,0.5149800036287,0.19582726932042,7,0.063360241539552,0.085083696099664,0.23782913600527,1,0.02570349200556,11,201
23,0.24521777944474,0.24099527247481,0.22691310935062,0.59124439536475,0.53169248652686,0.63236268081096,4,2,2,2,0.17979256440097,0.23782913600527,0.063360241539552,2,0.5149800036287,0.19582726932042,7,0.063360241539552,0.085083696099664,0.23782913600527,1,0.02570349200556,11,201
24,0.24521777944474,0.24099527247481,0.22691310935062,0.59124439536475,0.53169248652686,0.63236268081096,4,2,2,2,0.17979256440097,0.23782913600527,0.063360241539552,2,0.5149800036287,0.19582726932042,7,0.063360241539552,0.085083696099664,0.23782913600527,1,0.02570349200556,11,201
25,0.24521777944474,0.24099527247481,0.22691310935062,0.59124439536475,0.53169248652686,0.63236268081096,4,2,2,2,0.17979256440097,0.23782913600527,0.063360241539552,2,0.5149800036287,0.19582726932042,7,0.063360241539552,0.085083696099664,0.23782913600527,1,0.02570349200556,11,201
26,0.20981187425017,0.1945573640677,0.18676840720477,0.83535042199487,0.35080345191958,0.67770456290003,1,3,3,3,0.1812306913027,0.23713445113899,0.06729841471692,2,0.5167257869981,0.16176205349668,7,0.06729841471692,0.074956076292525,0.23713445113899,1,0.022708199322291,33,187
27,0.24521777944474,0.24099527247481,0.22691310935062,0.59124439536475,0.53169248652686,0.63236268081096,4,2,2,2,0.17979256440097,0.23782913600527,0.063360241539552,2,0.5149800036287,0.19582726932042,7,0.063360241539552,0.085083696099664,0.23782913600527,1,0.02570349200556,11,201
28,0.24039042165472,0.23574554423813,0.22501137806766,0.75586481737722,0.41682935437796,0.66553362713157,4,1,1,1,0.18741108802304,0.24833742849145,0.062993116571768,2,0.54732822741249,0.18712131990165,7,0.062993116571768,0.1527,0.24833742849145,1,0.028842313697224,33,211
29,0.24039042165472,0.23574554423813,0.22501137806766,0.75586481737722,0.41682935437796,0.66553362713157,4,1,1,1,0.18741108802304,0.24833742849145,0.062993116571768,2,0.54732822741249,0.18712131990165,7,0.062993116571768,0.1527,0.24833742849145,1,0.028842313697224,33,211
30,0.24039042165472,0.23574554423813,0.22501137806766,0.75586481737722,0.41682935437796,0.66553362713157,4,1,1,1,0.18741108802304,0.24833742849145,0.062993116571768,2,0.54732822741249,0.18712131990165,7,0.062993116571768,0.1527,0.24833742849145,1,0.028842313697224,33,211
31,0.24039042165472,0.23574554423813,0.22501137806766,0.75586481737722,0.41682935437796,0.66553362713157,4,1,1,1,0.18741108802304,0.24833742849145,0.062993116571768,2,0.54732822741249,0.18712131990165,7,0.062993116571768,0.1527,0.24833742849145,1,0.028842313697224,33,211
32,0.24039042165472,0.23574554423813,0.22501137806766,0.75586481737722,0.41682935437796,0.66553362713157,4,1,1,1,0.18741108802304,0.24833742849145,0.062993116571768,2,0.54732822741249,0.18712131990165,7,0.062993116571768,0.1527,0.24833742849145,1,0.028842313697224,33,211
33,0.24039042165472,0.23574554423813,0.22501137806766,0.75586481737722,0.41682935437796,0.66553362713157,4,1,1,1,0.18741108802304,0.24833742849145,0.062993116571768,2,0.54732822741249,0.18712131990165,7,0.062993116571768,0.1527,0.24833742849145,1,0.028842313697224,33,211
34,0.24039042165472,0.23574554423813,0.22501137806766,0.75586481737722,0.41682935437796,0.66553362713157,4,1,1,1,0.18741108802304,0.24833742849145,0.062993116571768,2,0.54732822741249,0.18712131990165,7,0.062993116571768,0.1527,0.24833742849145,1,0.028842313697224,33,211
35,0.24039042200478,0.2357455447574,0.22501137642793,0.75586480805629,0.4168293610507,0.66553362551234,4,1,1,1,0.18741108811735,0.24833743000918,0.062993116462731,2,0.54732822605265,0.18712132401372,7,0.062993116462731,0.1527,0.24833743000918,1,0.028842313633215,33,211
36,0.24039042165472,0.23574554423813,0.22501137806766,0.75586481737722,0.41682935437796,0.66553362713157,4,1,1,1,0.18741108802304,0.24833742849145,0.062993116571768,2,0.54732822741249,0.18712131990165,7,0.062993116571768,0.1527,0.24833742849145,1,0.028842313697224,33,211
37,0.24039042200478,0.2357455447574,0.22501137642793,0.75586480805629,0.4168293610507,0.66553362551234,4,1,1,1,0.18741108811735,0.24833743000918,0.062993116462731,2,0.54732822605265,0.18712132401372,7,0.062993116462731,0.1527,0.24833743000918,1,0.028842313633215,33,211
38,0.24042724574474,0.23580016758823,0.22510713495008,0.75488433844968,0.41599846009942,0.66459687825112,4,1,1,1,0.1874210087838,0.24849708027105,0.062981646891191,2,0.54745342627678,0.18755387318639,8,0.062981646891191,0.1527,0.24849708027105,1,0.029073104753679,33,212
39,0.24042724574474,0.23580016758823,0.22510713495008,0.75488433844968,0.41599846009942,0.66459687825112,4,1,1,1,0.1874210087838,0.24849708027105,0.062981646891191,2,0.54745342627678,0.18755387318639,8,0.062981646891191,0.1527,0.24849708027105,1,0.029073104753679,33,212
40,0.24039042165472,0.23574554423813,0.22501137806766,0.75586481737722,0.41682935437796,0.66553362713157,4,1,1,1,0.18741108802304,0.24833742849145,0.062993116571768,2,0.54732822741249,0.18712131990165,7,0.062993116571768,0.1527,0.24833742849145,1,0.028842313697224,33,211
41,0.24039042200478,0.2357455447574,0.22501137642793,0.75586480805629,0.4168293610507,0.66553362551234,4,1,1,1,0.18741108811735,0.24833743000918,0.062993116462731,2,0.54732822605265,0.18712132401372,7,0.062993116462731,0.1527,0.24833743000918,1,0.028842313633215,33,211
42,0.24042724574474,0.23580016758823,0.22510713495008,0.75488433844968,0.41599846009942,0.66459687825112,4,1,1,1,0.1874210087838,0.24849708027105,0.062981646891191,2,0.54745342627678,0.18755387318639,8,0.062981646891191,0.1527,0.24849708027105,1,0.029073104753679,33,212
43,0.24039042165472,0.23574554423813,0.22501137806766,0.75586481737722,0.41682935437796,0.66553362713157,4,1,1,1,0.18741108802304,0.24833742849145,0.062993116571768,2,0.54732822741249,0.18712131990165,7,0.062993116571768,0.1527,0.24833742849145,1,0.028842313697224,33,211
44,0.24039042200478,0.2357455447574,0.22501137642793,0.75586480805629,0.4168293610507,0.66553362551234,4,1,1,1,0.18741108811735,0.24833743000918,0.062993116462731,2,0.54732822605265,0.18712132401372,7,0.062993116462731,0.1527,0.24833743000918,1,0.028842313633215,33,211
45,0.24069155836661,0.23619223812872,0.22360085016496,0.74784674550909,0.41003455643423,0.65787223899189,4,1,1,1,0.18749221712279,0.24964301437071,0.062899320855623,2,0.54615846748547,0.19065861501977,7,0.062899320855623,0.1527,0.24964301437071,1,0.028489612696995,33,212
46,0.24042724574474,0.23580016758823,0.22510713495008,0.75488433844968,0.41599846009942,0.66459687825112,4,1,1,1,0.1874210087838,0.24849708027105,0.062981646891191,2,0.54745342627678,0.18755387318639,8,0.062981646891191,0.1527,0.24849708027105,1,0.029073104753679,33,212
47,0.24069155836661,0.23619223812872,0.22360085016496,0.74784674550909,0.41003455643423,0.65787223899189,4,1,1,1,0.18749221712279,0.24964301437071,0.062899320855623,2,0.54615846748547,0.19065861501977,7,0.062899320855623,0.1527,0.24964301437071,1,0.028489612696995,33,212
48,0.24039042165472,0.23574554423813,0.22501137806766,0.75586481737722,0.41682935437796,0.66553362713157,4,1,1,1,0.18741108802304,0.24833742849145,0.062993116571768,2,0.54732822741249,0.18712131990165,7,0.062993116571768,0.1527,0.24833742849145,1,0.028842313697224,33,211
49,0.24039042200478,0.2357455447574,0.22501137642793,0.75586480805629,0.4168293610507,0.66553362551234,4,1,1,1,0.18741108811735,0.24833743000918,0.062993116462731,2,0.54732822605265,0.18712132401372,7,0.062993116462731,0.1527,0.24833743000918,1,0.028842313633215,33,211
50,0.24163354045528,0.2353831347253,0.22337656460661,0.73051545407767,0.42121495629354,0.64590571897745,3,1,1,1,0.18711412435147,0.23557998353826,0.064116224390737,2,0.54856607683503,0.19761113414683,7,0.064116224390737,0.1527,0.23557998353826,1,0.028701190547712,33,206
51,0.24081451698188,0.23458221762811,0.23040681467695,0.75487254683042,0.41666559965952,0.6586937142074,4,2,2,2,0.18709519941573,0.23624490525546,0.065962892159409,2,0.54748207154447,0.18768723842634,7,0.065962892159409,0.1527,0.23624490525546,1,0.029565397067539,33,213
52,0.24039055752816,0.23574574578725,0.22501074163482,0.75586684078744,0.41683194429673,0.66553539615265,4,1,1,1,0.18741112462864,0.24833717139736,0.062993074250965,2,0.54732868682099,0.18712291593584,7,0.062993074250965,0.1527,0.24833717139736,1,0.028842422800043,33,211
53,0.24092692588681,0.23654137268841,0.22249838593024,0.75169399896029,0.41483790560222,0.66123822483352,4,1,1,1,0.18755562737557,0.24914633321143,0.062826010414744,2,0.5470141636268,0.19342335391498,7,0.062826010414744,0.1527,0.24914633321143,1,0.028694217277003,33,212
54,0.24039042197865,0.23574554476357,0.22501137640846,0.75586480811866,0.41682936095688,0.66553362548579,4,1,1,1,0.18741108811847,0.24833743000125,0.062993116461436,2,0.54732822606679,0.18712132406256,7,0.062993116461436,0.1527,0.24833743000125,1,0.028842313630266,33,211
55,0.24081451698188,0.23458221762811,0.23040681467695,0.75487254683042,0.41666559965952,0.6586937142074,4,2,2,2,0.18709519941573,0.23624490525546,0.065962892159409,2,0.54748207154447,0.18768723842634,7,0.065962892159409,0.1527,0.23624490525546,1,0.029565397067539,33,213
56,0.24042724574474,0.23580016758823,0.22510713495008,0.75488433844968,0.41599846009942,0.66459687825112,4,1,1,1,0.1874210087838,0.24849708027105,0.062981646891191,2,0.54745342627678,0.18755387318639,8,0.062981646891191,0.1527,0.24849708027105,1,0.029073104753679,33,212
57,0.24092692588681,0.23654137268841,0.22249838593024,0.75169399896029,0.41483790560222,0.66123822483352,4,1,1,1,0.18755562737557,0.24914633321143,0.062826010414744,2,0.5470141636268,0.19342335391498,7,0.062826010414744,0.1527,0.24914633321143,1,0.028694217277003,33,212
58,0.24069155836661,0.23619223812872,0.22360085016496,0.74784674550909,0.41003455643423,0.65787223899189,4,1,1,1,0.18749221712279,0.24964301437071,0.062899320855623,2,0.54615846748547,0.19065861501977,7,0.062899320855623,0.1527,0.24964301437071,1,0.028489612696995,33,212
59,0.24039042165472,0.23574554423813,0.22501137806766,0.75586481737722,0.41682935437796,0.66553362713157,4,1,1,1,0.18741108802304,0.24833742849145,0.062993116571768,2,0.54732822741249,0.18712131990165,7,0.062993116571768,0.1527,0.24833742849145,1,0.028842313697224,33,211
60,0.24081451698188,0.23458221762811,0.23040681467695,0.75487254683042,0.41666559965952,0.6586937142074,4,2,2,2,0.18709519941573,0.23624490525546,0.065962892159409,2,0.54748207154447,0.18768723842634,7,0.065962892159409,0.1527,0.23624490525546,1,0.029565397067539,33,213
61,0.24039040996962,0.23574572729426,0.22501142952261,0.75586679307735,0.41682897428411,0.66553404715489,4,1,1,1,0.18741108933058,0.24833752154182,0.06299307517227,2,0.54732867358569,0.1871230940637,7,0.06299307517227,0.1527,0.24833752154182,1,0.028842340704935,33,211
62,0.24088288325952,0.23616897050218,0.22238612035311,0.74885219001239,0.41619936213741,0.66111917249486,4,1,1,1,0.18755847739111,0.2492041061947,0.06283616194484,2,0.54698999276896,0.19100010783176,7,0.06283616194484,0.1527,0.2492041061947,1,0.02865835884628,33,211
63,0.24029945138016,0.23840156879282,0.22469098504525,0.73675034593509,0.42815022623607,0.66758704872572,4,2,2,2,0.18770823935373,0.2474808432934,0.064574099296131,2,0.54480635425115,0.16064813625184,7,0.064574099296131,0.1527,0.2474808432934,1,0.02903138949335,33,214
64,0.24039067198631,0.23577791738577,0.22583903982909,0.7555207183891,0.41795644363633,0.66802382621143,4,1,1,1,0.187802435459,0.25233866572936,0.062191061666404,2,0.54730044206969,0.18671310036737,7,0.062191061666404,0.1527,0.25233866572936,1,0.02866639087652,33,213
65,0.2404272457484,0.23580016759365,0.22510713493285,0.7548843385051,0.41599846016968,0.66459687829941,4,1,1,1,0.18742100878478,0.24849708026399,0.062981646890052,2,0.54745342626248,0.18755387322933,8,0.062981646890052,0.1527,0.24849708026399,1,0.029073104755933,33,212
66,0.24082546076327,0.23347894799171,0.22323073260015,0.76092097475225,0.42365270198913,0.66985641173628,4,1,1,1,0.18586434000187,0.24772762406582,0.062857613980666,2,0.54880732444575,0.19223149629029,8,0.062857613980666,0.1527,0.24772762406582,1,0.029321587590602,33,215
67,0.24082546076327,0.23347894799171,0.22323073260015,0.76092097475225,0.42365270198913,0.66985641173628,4,1,1,1,0.18586434000187,0.24772762406582,0.062857613980666,2,0.54880732444575,0.19223149629029,8,0.062857613980666,0.1527,0.24772762406582,1,0.029321587590602,33,215
68,0.24029945138016,0.23840156879282,0.22469098504525,0.73675034593509,0.42815022623607,0.66758704872572,4,2,2,2,0.18770823935373,0.2474808432934,0.064574099296131,2,0.54480635425115,0.16064813625184,7,0.064574099296131,0.1527,0.2474808432934,1,0.02903138949335,33,214
69,0.24081451698188,0.23458221762811,0.23040681467695,0.75487254683042,0.41666559965952,0.6586937142074,4,2,2,2,0.18709519941573,0.23624490525546,0.065962892159409,2,0.54748207154447,0.18768723842634,7,0.065962892159409,0.1527,0.23624490525546,1,0.029565397067539,33,213
70,0.24081451698188,0.23458221762811,0.23040681467695,0.75487254683042,0.41666559965952,0.6586937142074,4,2,2,2,0.18709519941573,0.23624490525546,0.065962892159409,2,0.54748207154447,0.18768723842634,7,0.065962892159409,0.1527,0.23624490525546,1,0.029565397067539,33,213
71,0.24039067198631,0.23577791738577,0.22583903982909,0.7555207183891,0.41795644363633,0.66802382621143,4,1,1,1,0.187802435459,0.25233866572936,0.062191061666404,2,0.54730044206969,0.18671310036737,7,0.062191061666404,0.1527,0.25233866572936,1,0.02866639087652,33,213
72,0.24031600159048,0.23499747082649,0.22531047993997,0.73963385114489,0.41679367425269,0.65687906150946,4,2,2,2,0.18708636142537,0.2347854939046,0.066210171103456,2,0.54487331969983,0.16115218248188,7,0.066210171103456,0.1527,0.2347854939046,1,0.029219948367053,33,211
73,0.23959114339487,0.23580482372902,0.21587934891156,0.75422595557962,0.41547248622724,0.66356666072252,3,1,1,1,0.18713835735526,0.24730518394737,0.062932309953855,2,0.55915129823979,0.18754930385946,6,0.062932309953855,0.1527,0.24730518394737,1,0.028698887186759,33,209
74,0.24135884003202,0.23579318456839,0.22561707517278,0.7529742267101,0.45857650893041,0.68403475281212,4,2,2,2,0.18439101551978,0.24691899040182,0.063517400201688,2,0.54803779106922,0.18727348127397,7,0.063517400201688,0.1527,0.24691899040182,1,0.029968632728828,33,216
75,0.24042003877572,0.23602772754876,0.22582411361769,0.75744597254069,0.35996898325383,0.6396872856676,4,1,1,1,0.18774048807624,0.24945307495939,0.061375623141999,2,0.54128868824442,0.18195958178912,7,0.061375623141999,0.1527,0.24945307495939,1,0.027700471631372,33,208
76,0.23792562293777,0.23516736935394,0.22450428535755,0.74786482654305,0.436465942125,0.6642935863932,4,1,1,1,0.18757854533907,0.23379962677396,0.063709906199388,2,0.53503640963798,0.18817482024421,8,0.063709906199388,0.1527,0.23379962677396,1,0.029113102331274,33,213
77,0.24202729006836,0.23569553003672,0.22495356693175,0.77188809244571,0.4006097717265,0.65848518299788,4,1,1,1,0.18492340099641,0.23466376030388,0.063152409966613,2,0.53340695667401,0.18632456376069,7,0.063152409966613,0.1527,0.23466376030388,1,0.028994692682317,33,211
78,0.24041383153092,0.23617949937501,0.22358037340531,0.75652925059224,0.40914485007941,0.66102908315207,4,1,1,1,0.18749274933981,0.24828974881632,0.062974084888846,2,0.54721941573775,0.19114058995398,7,0.062974084888846,0.1527,0.24828974881632,1,0.028672721000303,33,212
79,0.24038838057952,0.23579421533452,0.22526763454858,0.75500607033398,0.43358915794205,0.6735280183037,4,2,2,2,0.18685194374538,0.2454432841602,0.0630875484918,2,0.54732969576004,0.18092071592467,6,0.0630875484918,0.1527,0.2454432841602,1,0.029242915523484,33,215
80,0.24042497932152,0.23574655555798,0.22498920660864,0.75649670146256,0.42391470634669,0.664338985386,4,1,1,1,0.18830320101413,0.23725206590885,0.062662538375617,2,0.54732759279093,0.18505877217337,7,0.062662538375617,0.1527,0.23725206590885,1,0.02894742530048,33,213
81,0.24124373547002,0.23701131507574,0.22101444611384,0.75687248221646,0.40733629077105,0.6587833455807,4,1,1,1,0.18764097889621,0.2484777900287,0.062727333034787,2,0.5481659484511,0.19714475003773,7,0.062727333034787,0.1527,0.2484777900287,1,0.028637961319712,33,212
82,0.24042003476343,0.23580186210706,0.22510175214785,0.75490165564146,0.41597268435231,0.66460114770458,4,1,1,1,0.18742131654441,0.24849487294565,0.062981291080174,2,0.54745731015378,0.18751955846562,8,0.062981291080174,0.1527,0.24849487294565,1,0.029071931635436,33,212
83,0.24135884003202,0.23579318456839,0.22561707517278,0.7529742267101,0.45857650893041,0.68403475281212,4,2,2,2,0.18439101551978,0.24691899040182,0.063517400201688,2,0.54803779106922,0.18727348127397,7,0.063517400201688,0.1527,0.24691899040182,1,0.029968632728828,33,216
84,0.24038838057952,0.23579421533452,0.22526763454858,0.75500607033398,0.43358915794205,0.6735280183037,4,2,2,2,0.18685194374538,0.2454432841602,0.0630875484918,2,0.54732969576004,0.18092071592467,6,0.0630875484918,0.1527,0.2454432841602,1,0.029242915523484,33,215
85,0.24082546076327,0.23347894799171,0.22323073260015,0.76092097475225,0.42365270198913,0.66985641173628,4,1,1,1,0.18586434000187,0.24772762406582,0.062857613980666,2,0.54880732444575,0.19223149629029,8,0.062857613980666,0.1527,0.24772762406582,1,0.029321587590602,33,215
86,0.24029945138016,0.23840156879282,0.22469098504525,0.73675034593509,0.42815022623607,0.66758704872572,4,2,2,2,0.18770823935373,0.2474808432934,0.064574099296131,2,0.54480635425115,0.16064813625184,7,0.064574099296131,0.1527,0.2474808432934,1,0.02903138949335,33,214
87,0.23792562293777,0.23516736935394,0.22450428535755,0.74786482654305,0.436465942125,0.6642935863932,4,1,1,1,0.18757854533907,0.23379962677396,0.063709906199388,2,0.53503640963798,0.18817482024421,8,0.063709906199388,0.1527,0.23379962677396,1,0.029113102331274,33,213
88,0.24520521637041,0.24456902233074,0.22394806792054,0.76190709610183,0.41655088117998,0.66756820598251,4,2,2,2,0.18534064404405,0.25053486115719,0.06284437234996,2,0.5455245875045,0.19138342133024,7,0.06284437234996,0.1527,0.25053486115719,1,0.029292127657458,33,215
89,0.24116613747148,0.23681062164899,0.22525854133382,0.7569311152089,0.43192816509206,0.67082494639088,4,1,1,1,0.18671613385156,0.24759003827347,0.062706428487932,2,0.54721671671187,0.1965438157832,7,0.062706428487932,0.1527,0.24759003827347,1,0.02921240243928,33,214
90,0.24146756057181,0.23632533058065,0.2345062701726,0.74038363148973,0.43462602798648,0.6631320239684,4,1,1,1,0.18590831514825,0.24606838125433,0.06432168944162,2,0.5494076933427,0.1963286343085,7,0.06432168944162,0.1527,0.24606838125433,1,0.029298799828967,33,212
91,0.24031318579744,0.2314523994526,0.22456101376596,0.70451465672694,0.42508483596967,0.66266522642875,4,2,2,2,0.18572954217881,0.28361451355379,0.062642258935784,2,0.53813110541764,0.18285212503274,7,0.062642258935784,0.1527,0.28361451355379,1,0.02773165789202,33,209
92,0.24017505845608,0.23575119065118,0.22514893075559,0.75265812204911,0.37209759758543,0.64193096525919,4,2,2,2,0.18427325999918,0.24899156518117,0.063002452400092,2,0.54792361650797,0.18712466414113,7,0.063002452400092,0.1527,0.24899156518117,1,0.027691261135395,33,209
93,0.24062709802151,0.23607128848481,0.22432990842427,0.81355044741388,0.27583368867538,0.63719608376425,4,2,2,2,0.18665579592516,0.2346401435542,0.066077814029143,2,0.5455625890556,0.10313076233524,7,0.066077814029143,0.1527,0.2346401435542,1,0.027576910863842,33,210
94,0.24031228977873,0.23478117278659,0.22525304325171,0.73883721400558,0.42365037027894,0.66034758956496,4,2,2,2,0.18811246113072,0.2366957234306,0.063195630936922,2,0.54716260634999,0.16330444160277,7,0.063195630936922,0.1527,0.2366957234306,1,0.028643028903776,33,213
95,0.24244347236618,0.23650352775776,0.22352829625859,0.75660172749549,0.42932074039326,0.66237389302346,4,1,1,1,0.18811364069424,0.23753240583413,0.06273306108674,2,0.54931071357167,0.20356722066509,7,0.06273306108674,0.1527,0.23753240583413,1,0.029242354950957,33,213
96,0.240545136265,0.23593428266304,0.2243123856276,0.75231759681249,0.43250182728321,0.6735356847156,4,1,1,1,0.18747282216234,0.25259361591012,0.063608159292913,2,0.54057273297137,0.1877852780093,7,0.063608159292913,0.1527,0.25259361591012,1,0.02929213916883,33,214
97,0.23954813761665,0.23567489873241,0.22478879814192,0.74949295653503,0.42462013348337,0.65871831558723,4,1,1,1,0.18744976413405,0.23405622003747,0.062559845099523,2,0.54366005264699,0.18938297701691,7,0.062559845099523,0.1527,0.23405622003747,1,0.028710142246842,33,213
98,0.2404326485177,0.23603678506431,0.22565282426718,0.75685010677727,0.37087642074393,0.64333563647164,4,1,1,1,0.18724886097691,0.24637660857606,0.063108123828926,2,0.54812674749188,0.1818219440933,7,0.063108123828926,0.1527,0.24637660857606,1,0.027891135052768,33,208
