c1,c2,c2,b1,b2,lhAC,iw,nperiflw,nperfilw2,nperfilw3,zwGround,LFuselageLAPES,WFuselageLAPES,nCelulas,tauE,xCG_Acw,airfoilhIndex,Arh,motorIndex,infoBat,volumeBox,configBox,boxUse,batteryConsumption,Score
0.23,0.22,0.22,0.67,0.24,0.52,0.87,1.00,1.00,1.00,0.16,0.24,0.07,3.00,0.53,0.26,4.00,4.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.24,0.21,0.19,0.73,0.28,0.57,0.51,1.00,1.00,1.00,0.19,0.23,0.07,3.00,0.56,0.20,6.00,3.27,1.00,6.00,0.00,0.00,0.00,1808.06,0.00
0.24,0.23,0.19,0.68,0.49,0.67,0.37,2.00,2.00,2.00,0.18,0.23,0.07,3.00,0.56,0.11,5.00,3.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.22,0.21,0.19,0.73,0.23,0.61,2.54,1.00,1.00,1.00,0.17,0.23,0.07,3.00,0.52,-0.06,7.00,3.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.23,0.19,0.19,0.55,0.23,0.46,3.22,2.00,2.00,2.00,0.18,0.24,0.07,3.00,0.51,0.24,1.00,3.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.24,0.21,0.19,0.75,0.50,0.69,0.53,2.00,2.00,2.00,0.19,0.23,0.07,3.00,0.56,0.21,6.00,3.33,1.00,6.00,0.03,33.00,0.97,1867.21,209.10
0.24,0.22,0.22,0.85,0.28,0.64,1.69,1.00,1.00,1.00,0.18,0.24,0.07,3.00,0.54,0.19,6.00,4.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.23,0.21,0.21,0.57,0.55,0.65,1.52,1.00,1.00,1.00,0.17,0.24,0.07,3.00,0.52,0.12,5.00,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.24,0.23,0.23,0.63,0.33,0.58,3.67,1.00,1.00,1.00,0.16,0.25,0.07,3.00,0.51,0.11,5.00,4.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.24,0.23,0.22,0.66,0.37,0.58,3.26,1.00,1.00,1.00,0.16,0.24,0.07,3.00,0.53,0.20,6.00,3.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.24,0.21,0.19,0.73,0.28,0.57,0.51,1.00,1.00,1.00,0.19,0.23,0.07,3.00,0.56,0.20,6.00,3.27,1.00,6.00,0.00,0.00,0.00,0.00,0.00
0.24,0.21,0.19,0.75,0.50,0.69,0.53,2.00,2.00,2.00,0.19,0.23,0.07,3.00,0.56,0.21,6.00,3.33,1.00,6.00,0.03,33.00,0.97,1867.21,209.10
0.24,0.24,0.22,0.58,0.52,0.62,2.58,1.00,1.00,1.00,0.15,0.24,0.07,3.00,0.53,0.22,3.00,3.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.23,0.23,0.22,0.72,0.44,0.65,2.13,2.00,2.00,2.00,0.18,0.24,0.07,3.00,0.58,0.23,2.00,3.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.21,0.21,0.19,0.84,0.46,0.72,0.07,1.00,1.00,1.00,0.16,0.23,0.07,3.00,0.53,0.21,3.00,4.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.21,0.21,0.19,0.68,0.49,0.66,3.61,2.00,2.00,2.00,0.19,0.24,0.07,3.00,0.53,0.22,8.00,3.32,1.00,6.00,0.03,33.00,0.94,1637.00,219.51
0.23,0.21,0.19,0.81,0.28,0.67,2.56,2.00,2.00,2.00,0.17,0.24,0.07,3.00,0.54,-0.03,5.00,3.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.24,0.23,0.23,0.60,0.28,0.57,2.85,2.00,2.00,2.00,0.17,0.24,0.07,3.00,0.54,-0.01,8.00,3.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.24,0.24,0.19,0.62,0.30,0.53,1.85,1.00,1.00,1.00,0.17,0.24,0.07,3.00,0.58,0.20,4.00,3.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.23,0.22,0.20,0.73,0.34,0.61,2.26,1.00,1.00,1.00,0.18,0.24,0.07,3.00,0.56,0.21,7.00,3.18,1.00,6.00,0.03,11.00,1.00,1670.06,207.86
0.24,0.23,0.19,0.58,0.44,0.59,2.59,1.00,1.00,1.00,0.15,0.24,0.07,3.00,0.54,0.13,2.00,3.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.21,0.21,0.19,0.68,0.49,0.66,3.61,2.00,2.00,2.00,0.19,0.24,0.07,3.00,0.53,0.22,8.00,3.32,1.00,6.00,0.03,33.00,0.94,1637.00,219.51
0.24,0.21,0.19,0.75,0.50,0.69,0.53,2.00,2.00,2.00,0.19,0.23,0.07,3.00,0.56,0.21,6.00,3.33,1.00,6.00,0.03,33.00,0.97,1867.21,209.10
0.23,0.22,0.20,0.73,0.34,0.61,2.26,1.00,1.00,1.00,0.18,0.24,0.07,3.00,0.56,0.21,7.00,3.18,1.00,6.00,0.03,11.00,1.00,1670.06,207.86
0.23,0.23,0.22,0.81,0.28,0.65,1.94,1.00,1.00,1.00,0.17,0.24,0.07,3.00,0.58,0.07,7.00,3.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.22,0.20,0.20,0.79,0.32,0.64,2.13,1.00,1.00,1.00,0.17,0.24,0.07,3.00,0.52,0.16,5.00,3.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.24,0.21,0.19,0.75,0.50,0.69,0.53,2.00,2.00,2.00,0.19,0.23,0.07,3.00,0.56,0.21,8.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.21,0.21,0.19,0.68,0.49,0.66,3.61,2.00,2.00,2.00,0.19,0.24,0.07,3.00,0.53,0.22,8.00,3.32,1.00,6.00,0.03,33.00,0.94,1637.00,219.51
0.24,0.21,0.19,0.75,0.50,0.69,0.53,2.00,2.00,2.00,0.19,0.23,0.07,3.00,0.56,0.21,6.00,3.33,1.00,6.00,0.03,33.00,0.97,1867.21,209.10
